"Action","Действия"
"Active","Активно"
"Add New FAQ Category","Добавить новую категорию FAQ"
"Add New FAQ Item","Добавить новый элемент FAQ"
"All Store Views","Alle StoreViews"
"Answer","Ответ"
"Back","Назад"
"Back to the FAQ overview", "Назад к обзору FAQ"
"Category","Категория"
"Category #","Категория #"
"Category Information","Информация о категории"
"Category Name","Название категории"
"Content","Контент"
"Delete FAQ item","Удалить элемент FAQ"
"Disabled","Выключено"
"Display all FAQ items","Показать все элементы FAQ"
"Edit","Редактировать"
"Edit FAQ item '%s'","Редактировать '%s' элемент FAQ"
"Enabled","Включено"
"FAQ Item was successfully saved","Элемент FAQ был успешно сохранен"
"FAQ","FAQ"
"FAQ #","FAQ #"
"FAQ item information","Информация об элементе FAQ"
"FAQ item question","Вопросы по элементу FAQ"
"FAQ overview","Обзор FAQ"
"General information","Основная информация"
"HTML answer","HTML ответ"
"Images","Изображения"
"Manage Categories","Управление категориями"
"Manage FAQ Categories","Управление категориями FAQ"
"Manage FAQ Items","Управление элементами FAQ"
"Manage Items","Управление элементами"
"New FAQ Category","Новая категория FAQ"
"New FAQ item","Новый элемент FAQ"
"No","Нет"
"No records found.","Записи не найдены."
"of %s pages","из %d страниц"
"Page","Страница"
"Page status","Статус страницы"
"per page","на страницу"
"Publication date","Дата публикации"
"Published on","Опубликовано"
"Reset","Сбросить"
"Reset Filter","Сбросить фильтр"
"Save and continue edit","Сохранить и продолжить редактирование"
"Save FAQ Category","Сохранить категорию FAQ"
"Save FAQ item","Сохранить элемент FAQ"
"Search","Поиск"
"Status","Статус"
"Store view","StoreView"
"There are no FAQ items at the moment.","Нет элементов для отображения."
"Question","Вопрос"
"Total %d records found","Всего %s записей найдено"
"View","Вид"
"Yes","Да"
"Frequently Asked Questions", "Часто задаваемые вопросы"
"Unable to find a FAQ entry to delete", "Не могу найти элемент FAQ для удаления"
"This FAQ category no longer exists", "Эта категория FAQ больше не существует"
"FAQ Category was successfully saved", "Категория FAQ успешно сохранена"
